H2D,,D2D,,D2H,
0.048448,,0.005056,,0.053152,
0.074304,,0.004832,,0.089536,
0.045824,,0.004768,,0.052832,
0.042624,,0.004928,,0.052864,
0.043136,,0.004768,,0.052992,
0.042112,,0.004736,,0.052512,
0.043456,,0.004736,,0.05216,
0.043744,,0.004736,,0.051936,
0.042368,,0.004864,,0.052192,
0.040512,,0.004736,,0.052288,
0.045472,,0.004736,,0.052288,
0.042272,,0.004864,,0.052096,
0.047168,,0.004736,,0.052896,
0.042272,,0.004736,,0.051936,
0.04208,,0.004736,,0.052288,
0.042688,,0.004736,,0.052416,
0.042368,,0.004832,,0.047072,
0.042592,,0.004768,,0.052192,
0.077344,,0.004736,,0.090464,
0.046656,,0.004736,,0.059424,
0.042528,,0.004736,,0.043648,
0.041344,,0.004704,,0.04368,
0.041248,,0.004704,,0.043648,
0.041568,,0.004992,,0.043392,
0.04656,,0.004928,,0.044384,
0.040288,,0.004704,,0.043776,
0.072064,,0.004736,,0.088416,
0.084096,,0.004896,,0.052192,
0.075104,,0.004704,,0.090272,
0.044096,,0.004736,,0.0624,
0.044512,,0.004768,,0.052096,
0.043136,,0.004736,,0.051712,
0.04304,,0.004768,,0.051968,
0.047328,,0.0048,,0.052224,
0.042144,,0.004736,,0.051552,
0.042176,,0.004832,,0.051808,
0.042144,,0.004992,,0.05184,
0.047072,,0.004832,,0.051744,
0.04048,,0.0048,,0.051904,
0.042304,,0.005056,,0.051904,
0.042048,,0.004736,,0.05232,
0.04368,,0.004736,,0.051648,
0.041664,,0.004832,,0.05216,
0.041952,,0.004768,,0.052096,
0.0416,,0.004768,,0.052416,
0.0424,,0.004704,,0.051904,
0.04256,,0.004736,,0.052288,
0.042048,,0.004736,,0.051936,
0.041632,,0.004896,,0.052416,
0.042112,,0.004768,,0.052128,
0.041568,,0.004768,,0.051712,
0.045568,,0.004832,,0.052288,
0.04368,,0.004736,,0.052032,
0.041472,,0.004864,,0.051392,
0.079904,,0.004768,,0.08784,
0.04624,,0.004768,,0.05232,
0.041152,,0.004832,,0.052064,
0.041088,,0.004736,,0.052128,
0.04464,,0.004832,,0.052416,
0.046016,,0.004768,,0.051744,
0.041728,,0.004768,,0.052288,
0.046144,,0.004768,,0.05184,
0.04208,,0.004768,,0.052256,
0.04224,,0.004928,,0.05232,
0.041472,,0.004768,,0.05248,
0.041952,,0.004832,,0.05184,
0.041376,,0.004768,,0.049024,
0.043168,,0.004736,,0.051968,
0.042272,,0.004864,,0.05216,
0.040672,,0.004768,,0.052064,
0.041824,,0.0048,,0.051712,
0.045728,,0.004736,,0.05152,
0.04528,,0.00496,,0.052544,
0.046624,,0.004864,,0.051584,
0.046272,,0.004768,,0.052384,
0.04176,,0.004768,,0.051936,
0.041312,,0.004768,,0.05232,
0.04336,,0.004832,,0.051712,
0.042368,,0.004992,,0.052256,
0.040928,,0.004736,,0.047232,
0.046016,,0.004896,,0.052352,
0.041632,,0.004768,,0.051744,
0.044832,,0.004832,,0.053984,
0.034464,,0.004768,,0.044352,
0.03472,,0.004832,,0.044832,
0.034752,,0.004864,,0.044704,
0.033504,,0.004736,,0.044416,
0.034912,,0.004736,,0.044448,
0.034656,,0.004768,,0.04464,
0.03504,,0.004864,,0.04416,
0.034784,,0.004864,,0.04448,
0.034752,,0.004736,,0.044608,
0.034176,,0.004768,,0.044512,
0.034944,,0.004736,,0.044768,
0.041408,,0.0048,,0.045888,
0.041312,,0.0048,,0.05104,
0.110144,,0.004704,,0.12576,
0.048704,,0.004832,,0.049376,
0.07696,,0.004768,,0.089888,
0.089408,,0.004864,,0.044576,
,Ave.
0.0457338,,0.00479648,,0.0536531,
,Med.
0.042288,,0.004768,,0.052048,
