(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
1,,0.0586342,0.00478208,0.0680038,,0.048128,0.00512,0.054272
2,,0.0524288,0.0047616,0.0589722,,0.045568,0.00512,0.052224
3,,0.044247,0.00474112,0.050903,,0.041984,0.00512,0.04608
4,,0.0602829,0.00475136,0.0695603,,0.059392,0.00512,0.07168
5,,0.0500736,0.00480256,0.0587776,,0.043008,0.00512,0.047104
6,,0.0437043,0.00472064,0.0518963,,0.039936,0.00512,0.04608
7,,0.0497562,0.0048128,0.0598528,,0.044032,0.00512,0.053248
8,,0.0417178,0.00472064,0.0492339,,0.036864,0.00512,0.04608
9,,0.0402535,0.0047616,0.0482919,,0.03584,0.00512,0.04608
10,,0.0410317,0.004864,0.0495207,,0.03584,0.00512,0.04608
20,,0.0464384,0.00485376,0.0500531,,0.04096,0.00512,0.047104
30,,0.0461927,0.00483328,0.0505036,,0.041984,0.00512,0.048128
40,,0.0462131,0.004864,0.0515379,,0.043008,0.00512,0.049152
50,,0.0510362,0.00487424,0.0553165,,0.045056,0.00512,0.050176
60,,0.055593,0.00494592,0.0607232,,0.054272,0.00512,0.058368
70,,0.0658294,0.00497664,0.062761,,0.062144,0.00512,0.059392
80,,0.0670758,0.00498688,0.0633447,,0.063824,0.00512,0.060416
90,,0.0654224,0.00497664,0.0622797,,0.064128,0.00512,0.06144
100,,0.0657626,0.00494592,0.0653517,,0.06,0.00512,0.06144
200,,0.0828886,0.00529408,0.0851968,,0.075776,0.00512,0.078848
300,,0.112526,0.00543744,0.169974,,0.11368,0.00512,0.161792
400,,0.124795,0.00577536,0.19798,,0.129232,0.006144,0.197632
500,,0.160529,0.00605183,0.323,,0.13416,0.006144,0.24064
600,,0.162384,0.00631807,0.332749,,0.14336,0.006144,0.280576
700,,0.172499,0.00647167,0.376269,,0.17008,0.006144,0.35584
800,,0.182587,0.00685055,0.403804,,0.184464,0.007168,0.400384
900,,0.202825,0.0070656,0.450007,,0.198832,0.007168,0.433152
1000,,0.226804,0.00738304,0.536422,,0.201728,0.007168,0.462336
1024,,0.224231,0.00720896,0.505518,,0.217088,0.007168,0.470016
2048,,0.399916,0.0176947,0.865424,,0.373408,0.017408,0.777216
3072,,0.509558,0.0274329,1.29474,,0.487136,0.027648,1.24109
4096,,0.731069,0.0362803,1.71055,,0.685024,0.03584,1.55853
5120,,0.887323,0.044841,2.21747,,0.850576,0.045056,2.06541
6144,,1.12944,0.0536781,2.77515,,1.04602,0.053248,2.40333
7168,,1.17666,0.0624332,2.83239,,1.17984,0.062464,2.8201
8192,,1.40547,0.0712806,3.1576,,1.40762,0.07168,3.14317
9216,,1.61464,0.0798413,4.00676,,1.5681,0.079872,3.92346
10240,,1.83173,0.0887194,4.27303,,1.82965,0.089088,4.24038
20480,,4.02122,0.176364,8.27348,,4.03374,0.176128,8.26931
30720,,5.98017,0.264499,12.3348,,6.02088,0.263168,12.352
40960,,7.77944,0.350853,16.2032,,7.71026,0.35072,16.258
51200,,9.65201,0.438303,20.2453,,9.5393,0.438272,20.309
61440,,11.8136,0.52692,24.5104,,11.8024,0.526336,24.5494
71680,,13.6971,0.613151,28.5255,,13.7513,0.613376,28.5486
81920,,15.4218,0.700631,32.6235,,15.4314,0.70144,32.6892
92160,,17.307,0.788234,36.5847,,17.2197,0.78848,36.7258
102400,,19.8637,0.87638,40.9178,,20,0.876544,40.9155
204800,,40.1735,1.7521,81.661,,40.2323,1.75206,81.6456
307200,,60.1395,2.6281,122.168,,60.1281,2.62707,122.365
409600,,79.9512,3.50182,162.83,,80.0938,3.50362,163.161
512000,,100.245,4.37598,203.631,,100.085,4.36736,203.866
614400,,119.937,5.25026,244.372,,119.911,5.25005,244.523
716800,,142.284,6.1379,284.927,,142.42,6.13734,285.216
819200,,160.029,7.01117,325.888,,159.422,7.00723,326.003
921600,,179.414,7.90273,366.157,,179.452,7.90118,366.773
1024000,,199.574,8.77851,407.919,,199.198,8.77875,408.218
